Product ID,failure_pred,failure_prob
L50896,0,0.9919865978274105
L53866,0,0.9919865978274105
L50498,0,0.9919865978274105
M21232,0,0.9919865978274105
M19751,0,0.9919865978274105
L49438,0,0.9919865978274105
L50286,0,0.9919865978274105
L52589,0,0.9919865978274105
H37110,0,0.9919865978274105
L54886,0,0.9919865978274105
L53059,0,0.9919865978274105
L53774,0,0.9919865978274105
L55446,0,0.9919865978274105
L53162,0,0.9919865978274105
H39207,0,0.9919865978274105
L54230,0,0.9919865978274105
L53281,0,0.9919865978274105
L52914,1,0.09931338095148945
L54235,0,0.9919865978274105
L55097,0,0.9919865978274105
L53941,0,0.9919865978274105
L49385,0,0.9919865978274105
L54008,0,0.9919865978274105
L53337,0,0.9865693469137485
L53866,0,0.9919865978274105
M23754,0,0.9919865978274105
L54839,0,0.9919865978274105
L52311,0,0.9919865978274105
M17660,0,0.9919865978274105
L52702,0,0.9919865978274105
M19157,0,0.9919865978274105
L54272,0,0.9912341326184695
L53789,0,0.9919865978274105
L49054,0,0.9754364575362788
H33443,0,0.9919865978274105
L55348,0,0.9919865978274105
L48284,0,0.9919865978274105
L50888,0,0.9919865978274105
L57029,0,0.9919865978274105
M18281,0,0.9919865978274105
L53358,0,0.9919865978274105
L53158,0,0.9919865978274105
L51621,0,0.9919865978274105
L50200,0,0.9919865978274105
L56242,0,0.9919865978274105
L55123,0,0.9919865978274105
M18047,0,0.9919865978274105
H33435,0,0.9897888103382276
L52866,0,0.9919865978274105
L48859,0,0.9919865978274105
M23560,0,0.9919865978274105
L56672,0,0.9919865978274105
L50999,0,0.9919865978274105
L52832,0,0.9745125061943619
M17973,0,0.9919865978274105
L49757,0,0.9919865978274105
M17487,0,0.9919865978274105
L54766,0,0.9919865978274105
L56111,0,0.9919865978274105
L50085,0,0.9912341326184695
L56257,0,0.9919865978274105
L52701,0,0.971461396435073
L49192,0,0.9912341326184695
L47452,0,0.9919865978274105
L54361,0,0.9912341326184695
L47371,0,0.9919865978274105
L55951,0,0.9919865978274105
L52628,0,0.9919865978274105
H32498,0,0.9919865978274105
L56649,0,0.9865693469137485
L49385,0,0.9919865978274105
M15776,0,0.9919865978274105
L55435,0,0.9919865978274105
H34591,0,0.9919865978274105
M19563,0,0.9919865978274105
L48576,0,0.9919865978274105
L52330,0,0.9919865978274105
L56970,0,0.9919865978274105
M15252,0,0.9919865978274105
L49527,0,0.9919865978274105
M16982,0,0.9919865978274105
L47297,0,0.9919865978274105
L50606,0,0.9919865978274105
M16370,0,0.9919865978274105
H33781,0,0.9919865978274105
L56397,0,0.9919865978274105
M21483,0,0.9919865978274105
L57070,0,0.9919865978274105
M16052,0,0.9919865978274105
L54577,0,0.9919865978274105
M24851,0,0.9919865978274105
M19041,0,0.9919865978274105
L55508,0,0.9919865978274105
L56192,0,0.9919865978274105
L56161,0,0.9919865978274105
L56536,0,0.9919865978274105
H32205,0,0.9919865978274105
L49730,0,0.9919865978274105
L50199,0,0.9919865978274105
H38244,0,0.9919865978274105
L53561,0,0.9919865978274105
M22001,0,0.9912341326184695
L55669,0,0.9919865978274105
M17794,0,0.9919865978274105
M21371,0,0.9912341326184695
L55232,0,0.9919865978274105
L55275,0,0.9919865978274105
M18375,0,0.9919865978274105
L54514,0,0.9919865978274105
L55334,0,0.9919865978274105
L56947,0,0.9919865978274105
L50157,0,0.9919865978274105
L54505,0,0.9919865978274105
L53676,0,0.9919865978274105
L54207,0,0.9919865978274105
M21304,0,0.9919865978274105
H36114,0,0.9919865978274105
M17132,0,0.9919865978274105
L52995,0,0.9919865978274105
L53986,0,0.9919865978274105
M18784,0,0.9919865978274105
M17132,0,0.9919865978274105
H38289,0,0.9919865978274105
L55218,0,0.9919865978274105
L55779,0,0.9912341326184695
L54810,0,0.9919865978274105
L54222,0,0.9865693469137485
H34462,0,0.9919865978274105
L55218,0,0.9919865978274105
L53135,0,0.9919865978274105
L56170,0,0.9919865978274105
L50587,0,0.9919865978274105
H34783,0,0.9919865978274105
M24538,0,0.9919865978274105
L48817,0,0.9919865978274105
L48894,0,0.9919865978274105
L51740,0,0.9919865978274105
L53245,0,0.9919865978274105
L56007,0,0.9919865978274105
L52052,0,0.9919865978274105
L49953,0,0.9919865978274105
M15169,0,0.9919865978274105
M19264,0,0.9919865978274105
L52562,0,0.9919865978274105
L55619,0,0.9919865978274105
L53152,0,0.9919865978274105
L47922,0,0.9919865978274105
L49680,0,0.9919865978274105
L50166,0,0.9919865978274105
M15924,0,0.9919865978274105
L57008,0,0.9912341326184695
M21993,0,0.9919865978274105
M24201,0,0.9912341326184695
L54209,0,0.9919865978274105
L53824,0,0.9919865978274105
L56041,0,0.9919865978274105
L55016,0,0.9912341326184695
L49941,0,0.9714863204049117
M15586,0,0.9919865978274105
L53585,0,0.9919865978274105
